industry,category,subcategory_1,subcategory_2,name,description,price,cost,taxable,unit_of_measure,task_code,online_booking_enabled
Window & Exterior Cleaning,Solar Panel Maintenance,,,Debris/Mess Removal,"Removal of bird droppings, nests and other debris around and under solar panels.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_dc6367a434874782bf14f308c6b6f532",200.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Solar Panel Maintenance,,,Solar Panel Debris Removal (existing bird proofing),"Removal of bird proofing, thorough cleaning underneath panels and re-installation of bird proofing.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_d8fa2b5b887f4788a964b73c456d965d",8.50,0.00,FALSE,Linear Ft.,,FALSE
Window & Exterior Cleaning,Soft Washing,,,Stone Patio,"Removal of organic growth from stone primarily using chemicals and low pressure.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_e85c15a40f2a4eeb911845854b73e949",250.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Repairs,,,Window Screen Replacement,"If your window screens are torn, brittle, or no longer doing their job, we can replace just the mesh without needing to replace the whole frame. Choose from a range of mesh types to match your needs and budget.

What we do:
• Remove the damaged screen from the frame
• Replace with new mesh, cut and fitted to size
• Secure with new spline and reinstall in the existing frame
• Check for a clean, tight fit before returning the screen to you

Why it’s worth it:
• Restores screen function without replacing the frame
• Keeps bugs and debris out while allowing airflow
• Helps your windows look clean and maintained
• Choose from standard, pet-resistant, or solar mesh options

What’s not included:
• Frame repairs or replacement (this service covers mesh only)
• Screens that are bent, warped, or damaged beyond repair

Just so you know:
We install several mesh types including standard, pet-resistant, and solar screen. Let us know what you're looking for and we’ll help you pick the right fit.
Pricing depends on mesh type, screen size, and how many screens you need done.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_100941bf16e94da1922867aafc1b45b3",0.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Premium Window Cleaning,,,Window & Door Lubrication,"We’ll lubricate the tracks, hinges, and moving parts of your windows and sliding doors to help them open and close more easily. It’s a quick service that makes a big difference in day-to-day use.

What we do:
• Apply silicone-based lubricant to window tracks and sliding door rails
• Treat hinges, rollers, and other moving parts where accessible
• Wipe away excess buildup or dust that may be causing drag
• Check for signs of sticking, squeaking, or uneven movement

Why it’s worth it:
• Makes windows and doors easier to operate
• Reduces wear and tear on rollers, hinges, and tracks
• Helps prevent sticking or jamming, especially in older frames
• Quick, affordable maintenance that extends the life of your hardware

What’s not included:
• Repairs to broken parts, locks, or rollers
• Deep cleaning of tracks or debris removal (available separately)
• Service on items that are sealed shut or non-functional

Just so you know:
This service pairs well with interior window cleaning or screen service. Pricing depends on how many windows or doors need attention and accessibility.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_6540715406af4ffe827082c81e7477f0",0.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Gutter Cleaning,,,Downspout Clearing ,"If your gutters are fine but the downspouts aren’t draining properly, we can clear out the blockage and get things flowing again. This is a focused service for downspouts only.

What we do:
• Check each downspout for visible clogs or backup
• Use hand tools, hose flush, or other methods to clear the blockage
• Confirm water flows freely through the full downspout
• Inspect for signs of separation or underground drainage issues

Why it’s worth it:
• Stops water from backing up and spilling over the gutters
• Helps protect siding, foundations, and landscaping
• Fast, low-cost fix for isolated flow issues
• Can save you from needing a full gutter cleaning if that’s not the problem

What’s not included:
• Full gutter cleaning
• Repairs to damaged or disconnected downspouts
• Clearing underground drain lines (quoted separately if needed)

Just so you know:
Pricing depends on how many downspouts need clearing and whether the clogs are minor or packed in deep.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_461deb689b234bf6b6f06af51b5cef2c",75.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Premium Window Cleaning,,,Tracks & Sill Cleaning,"Thorough cleaning of window tracks and sills to remove dust, dirt, and debris — included at no extra charge when you’re getting your interior windows cleaned.

What we do:
• Brush out tracks to loosen built-up dust and debris
• Vacuum and wipe down tracks and sills to remove remaining dirt
• Clean commonly overlooked areas that affect how your windows look and function

Why it’s worth it:
• Makes your windows look more complete when the glass is clean
• Helps reduce dust and allergens that collect in the frames
• Prevents buildup that can lead to sticking or drainage issues over time
• Included automatically when we clean your interior windows

What’s not included:
• Deep restoration for mold, caulking damage, or weatherstripping issues
• Cleaning of windows without accessible tracks or that require disassembly

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_a2eba04c2cb04a7bb451984ef28c40ed",0.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Premium Window Cleaning,,,Screen Cleaning,"We’ll take care of your removable window screens by getting rid of all the dust, dirt, and debris that builds up over time. Clean screens help your windows stay cleaner longer and keep the air flowing fresh through your home.

What we do:
• Brush or lightly rinse away loose dirt and cobwebs
• Gently scrub with safe tools and cleaning solution
• Clean the frames to remove stuck-on grime
• Reinstall screens once they’re dry

Why it’s worth it:
• Stops dust from blowing back onto freshly cleaned windows
• Improves airflow when your windows are open
• Helps your screens last longer by preventing buildup

What’s not included:
• Screen repairs or rescreening (available as a separate service)
• Cleaning screens that are torn, brittle, or too damaged to safely handle

Just so you know:
This service is included as part of our exterior window cleaning service.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_fcaa222133e34098a6402fa5d6a0effe",0.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Estimates,,,General Estimate,"You let us know the area that needs attention — whether it’s gutters, windows, solar panels, or something else — and we’ll come take a look. We’ll check the condition, explain your options, and give you a clear estimate. In some cases, we may be able to take care of the job during the same visit, depending on time, scope, and materials needed.

What we do:
• Walk the property with you (or independently, if preferred)
• Inspect the area(s) of concern and explain available service options
• Offer add-on suggestions if we see anything worth flagging
• Provide a quote — either on-site or shortly after
• Perform same-day service if time, prep, and materials allow

Why it’s worth it:
• Gives you a clear understanding of what needs to be done
• Saves you a second appointment if we’re able to take care of things right then
• Honest, no-pressure recommendations based on what we see
• Great option for seasonal maintenance or property prep

What’s not included:
• Full written reports for real estate or insurance purposes
• Interior walkthroughs unless scheduled in advance
• Guaranteed same-day service — depends on scope and prep

Just so you know:
Estimates are always free and based on the real condition of your property. If we’ve worked together before, we’ll refer back to your service history when recommending anything new.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_0f7e2317852a4250893bd9b3e6fa8afd",0.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Gutter Cleaning,,,Roof Blowoff ,"We’ll remove loose debris like leaves, pine needles, and branches from your roof to help prevent clogs, buildup, and early wear. It’s a smart seasonal service, especially before or after storms.

What we do:
• Use a leaf blower to clear loose debris from the roof surface
• Focus on valleys, overhangs, and debris-prone areas
• Clear out any debris that’s gathered around vents or flashing
• Do a quick visual check for any noticeable roof concerns

Why it’s worth it:
• Helps prevent gutter and downspout clogs
• Reduces roof wear from moisture-trapping debris
• Keeps things tidy and lowers the risk of pests and water damage
• Quick, affordable maintenance between full cleanings

What’s not included:
• Gutter cleaning (can be added separately)
• Moss, algae, or stuck-on debris removal
• Repairs or inspections for leaks or roof structure issues

Just so you know:
We don’t walk steep or brittle roofs unless it’s safe to do so — some roofs may be blown off from a ladder.
Pricing depends on roof size, access, and how much debris needs to be removed.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_af80249ad849491f8e9c67f332599a55",150.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Estimates,,,Gutter Cleaning Estimate,"If you're not sure how full your gutters are or what it'll take to get them flowing again, we can take a look and give you a straightforward quote — no pressure, just honest info.

What we do:
• Inspect gutters and downspouts for visible clogs, buildup, or damage
• Check roofline, pitch, and access to determine service difficulty
• Let you know if anything needs cleaning, repair, or replacement
• Provide a clear quote based on linear footage, height, and debris level
• Same-day cleaning may be available depending on time and materials

Why it’s worth it:
• Helps you avoid gutter overflow and water damage before it starts
• Gives you upfront pricing — no surprises or unnecessary work
• We’ll let you know if cleaning isn’t needed yet, and when to check back
• Option to handle it all in one visit if the timing works out

What’s not included:
• Gutter cleaning itself (unless performed during the same visit)
• Full roof inspections or real estate reports
• Repairs or upgrades unless discussed during the quote

Just so you know:
Estimates are always free and include a quick visual check. If you've had work done before, we'll take your past service history into account.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_080ffbaccedb48089d84ba75d668bc03",0.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Pressure Washing,,,Backyard Pressure Washing,"We’ll pressure wash the main surfaces in your backyard to remove dirt, moss, algae, and buildup. Perfect for patios, walkways, and other areas that need a refresh.

What we do:
• Pressure wash patios, concrete, pavers, and walkways
• Apply a cleaning solution to help break down grime and organic growth
• Rinse thoroughly to flush out dirt and lift buildup
• Focus on high-traffic areas and shaded spots where moss and algae collect
• Move furniture and outdoor items as needed — if something is fragile or valuable, we ask that it be moved ahead of time

Why it’s worth it:
• Makes your outdoor space look cleaner and more inviting
• Removes slippery buildup for improved safety
• Helps preserve your hard surfaces by keeping grime from settling in

What’s not included:
• Oil stain removal (available separately if needed)
• Cleaning of vertical walls, furniture, or delicate materials

Just so you know:
This service is for ground-level surfaces only.
If you have a pool, we’ll do our best to keep debris out — but some may still end up in the water during the cleaning process.
Pricing depends on square footage and surface condition.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_1400bf00d76346929e1faa09d3a1a30d",900.00,0.00,FALSE,,,TRUE
Window & Exterior Cleaning,Gutter Cleaning,,,Gutter Cleaning (Roof & Downspouts),"We’ll clear leaves, pine needles, and roof debris from your gutters and downspouts so rainwater drains away from your home properly. This does not include patio covers.

What we do:
• Remove all gutter debris by hand or blower
• Flush gutters and downspouts (as needed) to confirm flow
• Quick visual check for obvious clogs or disconnected sections
• Clean up the work area before we leave
• Take before/after pictures of the roof and gutters

Why it’s worth it:
• Prevents overflow that can damage fascia, siding, and foundations
• Reduces the chance of roof leaks during heavy rain
• Stays ahead of costly repairs by removing buildup
• Prevents damage to gutters themselves
• Keeps water flowing
• You are able to see a part of your home that you wouldn’t otherwise

What’s not included:
• Cleaning the outside faces of gutters (separate service)
• Repairs or gutter guard installation
• Patio cover gutter cleaning
• Window cleaning if windows get dirty in the process

Just so you know:
Gutter cleaning can get messy and nearby windows may get splashed—we always clean up after ourselves, but window cleaning isn’t included. Pricing typically depends on sq ft of building

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_53cb5a041ec94100bd643b3615783111",0.12,0.00,FALSE,Sq. Ft.,,FALSE
Window & Exterior Cleaning,Gutter Cleaning,,,Emergency Gutter Cleaning,"If your gutters are overflowing, your downspouts are clogged, or water’s going where it shouldn’t — we’ll get out there quickly to clear it up and stop the damage from getting worse.

What we do:
• Remove leaves, pine needles, and debris causing the blockage
• Clear out downspouts to restore water flow
• Check for clogs, sagging sections, or water spilling over
• Prioritize key problem areas to stop the immediate issue

Why it’s worth it:
• Prevents water from backing up under shingles or into your home
• Protects your siding, fascia, and foundation during heavy rain
• Gives you fast peace of mind when timing matters
• Can help avoid more expensive damage or repairs

What’s not included:
• Full gutter system inspection (available afterward if needed)
• Repairs or major gutter adjustments
• Non-urgent general cleaning (this service is for active issues)

Just so you know:
This service is designed for urgent situations only. Pricing reflects priority scheduling, availability, and severity of the issue. If you’re in the middle of a storm or notice immediate overflow — don’t wait to reach out.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_0566e7eda25d48098e3d8b56d0f3148e",0.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Estimates,,,Window Cleaning Estimate,"If you're not sure how many windows you have, how dirty they really are, or what it’ll cost to get them cleaned — we’ll come take a look and give you a no-pressure quote. In many cases, we can take care of the job on the spot if the timing and scope work out.

What we do:
• Walk around the property and count all cleanable windows
• Check the condition of the glass, height, and access points
• Ask if you’d like interior, exterior, or both
• Recommend any add-ons (like screens, tracks, mirrors, or skylights)
• Provide a clear quote based on what you need
• Same-day cleaning may be available depending on time and prep

Why it’s worth it:
• Gives you a firm quote before committing to anything
• Saves you a second visit if we’re able to do the work right away
• We’ll show you options without upselling what you don’t need
• Great way to customize your cleaning based on your goals and budget

What’s not included:
• Cleaning itself (unless scheduled or approved at the time of the estimate)
• Full walkthrough of interiors unless requested in advance
• Repairs, hard water removal, or specialty services not discussed during the visit

Just so you know:
Estimates are free, and we’re happy to adjust them on the spot if you want to add or remove anything. You can always ask questions or make changes before we start.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_cb16209a93e0437e939dd219b9b64ec1",0.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Gutter Guards,,,Gutter Guard Maintenance,"Even with guards installed, debris can still build up on top or get through over time. This service keeps your protected gutter system flowing properly and avoids hidden clogs or overflow issues.

What we do:
• Remove surface debris sitting on top of the guards
• Open sections (if needed) to check inside for trapped debris or clogs
• Clear out downspouts or trouble areas if buildup is found
• Inspect the guards for damage, sagging, or signs of failure

Why it’s worth it:
• Keeps your guard system working like it should
• Prevents overflow from debris piling up on top
• Helps spot issues early so you can avoid bigger repairs
• Extends the life of your gutter and guard system

What’s not included:
• Full guard removal (available separately)
• Repair or replacement of broken guards (quoted if needed)
• Full gutter cleaning of unguarded systems

Just so you know:
Pricing depends on how much debris has built up and the type of guard installed. If your guards haven’t been checked in a while, this is a smart seasonal service.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_cac084d16ee64fddb5b2dd5e2ecd5a14",400.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Gutter Guards,,,Gutter Guard Installation,"We install durable metal micro-mesh guards that keep leaves and pine needles out while letting water flow through.

What we do:
• Inspect and measure your existing gutters for fit
• Custom cut and install metal micro-mesh guards
• Secure each section for a tight, clean finish
• Check key spots (especially at downspouts) for proper flow

Why it’s worth it:
• Prevents frequent clogs and overflow
• Helps protect fascia, siding, and foundation
• Low-profile look that blends with the roofline
• Includes your first annual guard maintenance at no extra cost

What’s not included:
• Gutter cleaning before install
• Removal of old guards
• Repairs to damaged or sagging sections

Just so you know:
We recommend yearly guard maintenance to keep everything flowing right. Pricing is based on linear footage, roof height, and access.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_7649f1b24e154612bcc0e46e1b922c4e",10.00,1.90,FALSE,Linear Ft.,,FALSE
Window & Exterior Cleaning,Premium Window Cleaning,,,Interior & Exterior,"Full window cleaning service for both the inside and outside of your home using professional tools and techniques. We use a streak-free solution, super-fine steel wool, and a squeegee to remove dirt, smudges, and grime for clean, clear glass.

What we do:
• Hand clean interior and exterior window glass
• Use super-fine steel wool to remove built-up grime
• Clean with a streak-free, residue-free solution that doesn't attract dust
• Move furniture or items as needed, unless the item is fragile or valuable (although we try, things may not be put back exactly the way they were)

Why it’s worth it:
• Brightens your home with clear, streak-free glass
• Removes dirt, fingerprints, and everyday buildup
• Keeps windows looking clean and well maintained for longer

What’s not included:
• Hard-water stain removal
• Excessive paint, adhesive, or heavy stuck-on debris (unless quoted separately)

Just so you know:
Add-ons are available upon request.
Pricing depends on window count, accessibility, and layout.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_de95f1a50fab4749a497f26d51fe989d",20.00,0.00,FALSE,Per Pane,,TRUE
Window & Exterior Cleaning,Premium Window Cleaning,,,Skylight Cleaning,"We’ll carefully clean your skylights to remove dirt, grime, and buildup that block sunlight and make them look cloudy. Whether they’re flat or domed, we’ll make sure they shine without damage.

What we do:
• Clean exterior skylight glass or plastic using a streak-free, residue-free solution
• Use soft tools to avoid scratching delicate surfaces
• Light rinse if needed to remove loose debris
• Interior cleaning available upon request (if safely accessible)

Why it’s worth it:
• Lets in more natural light and keeps your home feeling bright
• Removes buildup that can etch or stain skylight surfaces
• Helps your skylights last longer and look better over time

What’s not included:
• Hard-water stain removal
• Interior cleaning that requires roof or attic access beyond what’s safely reachable
• Repair of skylight seals, frames, or flashing

Just so you know:
Access varies depending on roof pitch, location, and skylight type.
We’ll always let you know what’s safely doable and what might need a different approach.
Pricing depends on number of skylights and difficulty of access.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_2be3a90f434c427a82bbdc80f3b41728",80.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Custom Services,,,Cobweb Removal,"Removal of visible cobwebs around entryways, eaves, porch ceilings, window frames, and other accessible exterior areas.  

Includes:
• Extension pole brushing to clear high corners and hard-to-reach spots  
• Light brushing of exterior light fixtures and trim  
• Cleanup of brushed cobweb material from ground-level surfaces  

Note: Service focuses on visible cobwebs in accessible areas.

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_17a51e56418b4dd8a1261186f59b2577",150.00,0.00,FALSE,,,FALSE
Window & Exterior Cleaning,Custom Services,,,General Work,"Price TBD

Source metadata (preserved from HCP export):
- industry_uuid: ind_50413bdcbb67410da504845ec48af17d
- source_uuid: olit_425909f775804c28bccdd2dad2ef7397",0.00,0.00,FALSE,,,FALSE
